Time,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?,Elanın_Nömrəsi,Otaq_Sayı,Sahə,Mərtəbə_raw,Mərtəbə,BinadaMaxMərtəbə,AZN/m²
2023-03-24 00:00:00,https://bina.az/items/3365736,235000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
121 m²
12/16 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3365736,3,121.0,12/16,12.0,16.0,1942.1487603305784
2023-03-24 00:00:00,https://bina.az/items/3365725,179000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
93 m²
4/18 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3365725,2,93.0,4/18,4.0,18.0,1924.731182795699
2023-03-24 00:00:00,https://bina.az/items/3216534,138000.0,AZN,Nərimanov r.,"2 otaqlı
65 m²
3/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3216534,2,65.0,3/17,3.0,17.0,2123.076923076923
2023-03-24 00:00:00,https://bina.az/items/3365702,225000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
153 m²
10/13 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka var,3365702,3,153.0,10/13,10.0,13.0,1470.5882352941176
2023-03-24 00:00:00,https://bina.az/items/3365550,158900.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
75 m²
19/19 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3365550,2,75.0,19/19,19.0,19.0,2118.6666666666665
2023-03-24 00:00:00,https://bina.az/items/3365646,220000.0,AZN,Nərimanov r.,"3 otaqlı
102 m²
6/17 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3365646,3,102.0,6/17,6.0,17.0,2156.86274509804
2023-03-24 00:00:00,https://bina.az/items/3365632,350000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
148 m²
6/12 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3365632,3,148.0,6/12,6.0,12.0,2364.864864864865
2023-03-24 00:00:00,https://bina.az/items/3225727,230000.0,AZN,Nərimanov r.,"2 otaqlı
89 m²
4/8 mərtəbə","Bakı, 24 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3225727,2,89.0,4/8,4.0,8.0,2584.2696629213483
2023-03-25 00:00:00,https://bina.az/items/3296644,222000.0,AZN,Nərimanov r.,"3 otaqlı
134.5 m²
11/14 mərtəbə","Bakı, 25 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3296644,3,134.5,11/14,11.0,14.0,1650.5576208178438
2023-03-23 00:00:00,https://bina.az/items/3365476,282000.0,AZN,Nərimanov r.,"4 otaqlı
115 m²
12/20 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3365476,4,115.0,12/20,12.0,20.0,2452.1739130434785
2023-03-23 00:00:00,https://bina.az/items/3365471,310000.0,AZN,Nərimanov r.,"3 otaqlı
139 m²
13/19 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka yoxdur,3365471,3,139.0,13/19,13.0,19.0,2230.2158273381297
2023-03-23 00:00:00,https://bina.az/items/3344047,185000.0,AZN,Nərimanov r.,"3 otaqlı
136.2 m²
6/12 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3344047,3,136.2,6/12,6.0,12.0,1358.2966226138033
2023-03-23 00:00:00,https://bina.az/items/3293604,260000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
90 m²
13/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3293604,2,90.0,13/16,13.0,16.0,2888.8888888888887
2023-03-23 00:00:00,https://bina.az/items/3365379,147000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
87 m²
10/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3365379,2,87.0,10/16,10.0,16.0,1689.655172413793
2023-03-23 00:00:00,https://bina.az/items/3323306,290000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
125 m²
3/18 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış var,İpoteka var,3323306,3,125.0,3/18,3.0,18.0,2320.0
2023-03-23 00:00:00,https://bina.az/items/3298957,170000.0,AZN,Nərimanov r.,"2 otaqlı
71 m²
4/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3298957,2,71.0,4/16,4.0,16.0,2394.3661971830984
2023-03-23 00:00:00,https://bina.az/items/3365327,220000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
90 m²
12/15 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:25,Təmirli deyil,Çıxarış var,İpoteka var,3365327,3,90.0,12/15,12.0,15.0,2444.4444444444443
